5.15E-07,2.05E-01
5.20E-07,2.15E-01
5.25E-07,2.15E-01
5.30E-07,2.17E-01
5.35E-07,2.20E-01
5.40E-07,2.15E-01
5.45E-07,2.16E-01
5.50E-07,2.14E-01
5.55E-07,2.11E-01
5.60E-07,2.06E-01
5.65E-07,2.05E-01
5.70E-07,2.04E-01
5.75E-07,1.97E-01
5.80E-07,1.97E-01
5.85E-07,1.96E-01
5.90E-07,1.90E-01
5.95E-07,1.87E-01
6.00E-07,1.89E-01
6.05E-07,1.86E-01
6.10E-07,1.81E-01
6.15E-07,1.80E-01
6.20E-07,1.82E-01
6.25E-07,1.77E-01
6.30E-07,1.76E-01
6.35E-07,1.72E-01
6.40E-07,1.77E-01
6.45E-07,1.70E-01
6.50E-07,1.71E-01
6.55E-07,1.75E-01
6.60E-07,1.70E-01
6.65E-07,1.66E-01
6.70E-07,1.68E-01
6.75E-07,1.68E-01
6.80E-07,1.72E-01
6.85E-07,1.68E-01
6.90E-07,1.70E-01
6.95E-07,1.64E-01
7.00E-07,1.65E-01
7.05E-07,1.66E-01
7.10E-07,1.64E-01
7.15E-07,1.65E-01
7.20E-07,1.59E-01
7.25E-07,1.56E-01
7.30E-07,1.59E-01
7.35E-07,1.54E-01
7.40E-07,1.53E-01
7.45E-07,1.53E-01
7.50E-07,1.46E-01
7.55E-07,1.44E-01
7.60E-07,1.43E-01
7.65E-07,1.36E-01
7.70E-07,1.36E-01
7.75E-07,1.34E-01
7.80E-07,1.30E-01
7.85E-07,1.26E-01
7.90E-07,1.24E-01
7.95E-07,1.23E-01
8.00E-07,1.20E-01
8.05E-07,1.14E-01
8.10E-07,1.16E-01
8.15E-07,1.11E-01
8.20E-07,1.06E-01
8.25E-07,1.06E-01
8.30E-07,1.01E-01
8.35E-07,1.03E-01
8.40E-07,1.04E-01
8.45E-07,1.03E-01
8.50E-07,9.77E-02
8.55E-07,9.65E-02
8.60E-07,1.00E-01
8.65E-07,9.90E-02
8.70E-07,1.00E-01
8.75E-07,9.52E-02
8.80E-07,1.01E-01
8.85E-07,1.00E-01
8.90E-07,1.03E-01
8.95E-07,1.06E-01
9.00E-07,1.10E-01
9.05E-07,1.14E-01
9.10E-07,1.16E-01
9.15E-07,1.18E-01
9.20E-07,1.18E-01
9.25E-07,1.24E-01
9.30E-07,1.25E-01
9.35E-07,1.29E-01
9.40E-07,1.31E-01
9.45E-07,1.35E-01
9.50E-07,1.40E-01
9.55E-07,1.41E-01
9.60E-07,1.44E-01
9.65E-07,1.40E-01
9.70E-07,1.43E-01
9.75E-07,1.43E-01
9.80E-07,1.43E-01
9.85E-07,1.34E-01
9.90E-07,1.33E-01
9.95E-07,1.28E-01
1.00E-06,1.26E-01
1.01E-06,1.19E-01
1.01E-06,1.14E-01
1.02E-06,1.09E-01
1.02E-06,1.01E-01
1.03E-06,9.27E-02
1.03E-06,8.90E-02
1.04E-06,7.90E-02
1.04E-06,7.16E-02
1.05E-06,6.53E-02
1.05E-06,6.16E-02
1.06E-06,5.29E-02
1.06E-06,4.66E-02
1.07E-06,4.29E-02
1.07E-06,3.67E-02
1.08E-06,3.42E-02
1.08E-06,3.04E-02
1.09E-06,2.54E-02
1.09E-06,2.05E-02
1.10E-06,2.17E-02
1.10E-06,1.80E-02
1.11E-06,1.42E-02
1.11E-06,1.30E-02
1.12E-06,1.30E-02
1.12E-06,1.05E-02
1.13E-06,1.05E-02
1.13E-06,9.24E-03
1.14E-06,1.05E-02
1.14E-06,1.42E-02
1.15E-06,1.05E-02
1.15E-06,1.17E-02
1.16E-06,1.30E-02
1.16E-06,1.42E-02
1.17E-06,1.55E-02
1.17E-06,1.80E-02
1.18E-06,1.92E-02
1.18E-06,2.05E-02
1.19E-06,2.17E-02
1.19E-06,2.54E-02
1.20E-06,2.92E-02
1.20E-06,3.17E-02
1.21E-06,3.42E-02
1.21E-06,3.42E-02
1.22E-06,3.79E-02
1.22E-06,4.16E-02
1.23E-06,4.66E-02
1.23E-06,4.79E-02
1.24E-06,5.29E-02
1.24E-06,5.54E-02
1.25E-06,6.16E-02
1.25E-06,6.53E-02
1.26E-06,6.66E-02
1.26E-06,7.03E-02
1.27E-06,7.16E-02
1.27E-06,8.03E-02
1.28E-06,8.03E-02
1.28E-06,8.15E-02
1.29E-06,8.78E-02
1.29E-06,8.53E-02
1.30E-06,9.27E-02
1.30E-06,9.02E-02
1.31E-06,9.27E-02
1.31E-06,9.15E-02
1.32E-06,9.40E-02
1.32E-06,9.27E-02
1.33E-06,9.15E-02
1.33E-06,9.02E-02
1.34E-06,8.90E-02
1.34E-06,8.78E-02
1.35E-06,8.40E-02
1.35E-06,8.15E-02
1.36E-06,7.78E-02
1.36E-06,7.53E-02
1.37E-06,7.16E-02
1.37E-06,6.41E-02
1.38E-06,6.16E-02
1.38E-06,5.91E-02
1.39E-06,5.16E-02
1.39E-06,4.79E-02
1.40E-06,4.41E-02
1.40E-06,4.16E-02
1.41E-06,3.67E-02
1.41E-06,3.29E-02
1.42E-06,3.17E-02
1.42E-06,2.67E-02
1.43E-06,2.30E-02
1.43E-06,1.92E-02
1.44E-06,1.92E-02
1.44E-06,1.67E-02
1.45E-06,1.30E-02
1.45E-06,1.05E-02
1.46E-06,9.24E-03
1.46E-06,1.30E-02
1.47E-06,8.00E-03
1.47E-06,8.00E-03
1.48E-06,1.17E-02
1.48E-06,1.05E-02
1.49E-06,9.24E-03
1.49E-06,1.05E-02
1.50E-06,1.30E-02
1.50E-06,1.42E-02
1.51E-06,1.55E-02
1.51E-06,1.67E-02
1.52E-06,1.80E-02
1.52E-06,2.17E-02
1.53E-06,2.30E-02
1.53E-06,2.54E-02
1.54E-06,2.92E-02
1.54E-06,2.92E-02
1.55E-06,3.17E-02
1.55E-06,3.42E-02
1.56E-06,3.29E-02
1.56E-06,3.67E-02
1.57E-06,3.92E-02
1.57E-06,3.92E-02
1.58E-06,4.16E-02
1.58E-06,4.54E-02
1.59E-06,4.41E-02
1.59E-06,4.66E-02
1.60E-06,4.79E-02
1.60E-06,5.16E-02
1.61E-06,5.04E-02
1.61E-06,5.16E-02
1.62E-06,5.29E-02
1.62E-06,5.41E-02
1.63E-06,5.66E-02
1.63E-06,5.54E-02
1.64E-06,5.66E-02
1.64E-06,6.03E-02
1.65E-06,5.91E-02
1.65E-06,6.16E-02
1.66E-06,6.28E-02
1.66E-06,6.53E-02
1.67E-06,6.78E-02
1.67E-06,6.91E-02
1.68E-06,7.28E-02
1.68E-06,7.78E-02
1.69E-06,8.15E-02
1.69E-06,8.03E-02
1.70E-06,9.40E-02
1.70E-06,9.15E-02
1.71E-06,9.77E-02
1.71E-06,1.05E-01
1.72E-06,1.11E-01
1.72E-06,1.19E-01
1.73E-06,1.25E-01
1.73E-06,1.35E-01
1.74E-06,1.41E-01
1.74E-06,1.45E-01
1.75E-06,1.54E-01
1.75E-06,1.60E-01
1.76E-06,1.71E-01
1.76E-06,1.72E-01
1.77E-06,1.80E-01
1.77E-06,1.89E-01
1.78E-06,1.95E-01
1.78E-06,1.96E-01
1.79E-06,2.04E-01
1.79E-06,2.04E-01
1.80E-06,2.05E-01
1.80E-06,2.11E-01
1.81E-06,2.06E-01
1.81E-06,2.05E-01
1.82E-06,2.09E-01
1.82E-06,2.04E-01
1.83E-06,2.00E-01
1.83E-06,1.94E-01
1.84E-06,1.90E-01
1.84E-06,1.89E-01
1.85E-06,1.79E-01
1.85E-06,1.74E-01
1.86E-06,1.68E-01
1.86E-06,1.61E-01
1.87E-06,1.55E-01
1.87E-06,1.51E-01
1.88E-06,1.46E-01
1.88E-06,1.40E-01
1.89E-06,1.31E-01
1.89E-06,1.29E-01
1.90E-06,1.29E-01
1.90E-06,1.23E-01
1.91E-06,1.18E-01
1.91E-06,1.18E-01
1.92E-06,1.15E-01
1.92E-06,1.16E-01
1.93E-06,1.18E-01
1.93E-06,1.16E-01
1.94E-06,1.15E-01
1.94E-06,1.20E-01
1.95E-06,1.26E-01
1.95E-06,1.23E-01
1.96E-06,1.29E-01
1.96E-06,1.34E-01
1.97E-06,1.36E-01
1.97E-06,1.41E-01
1.98E-06,1.46E-01
1.98E-06,1.54E-01
1.99E-06,1.55E-01
1.99E-06,1.56E-01
2.00E-06,1.63E-01
2.00E-06,1.71E-01
2.01E-06,1.69E-01
2.01E-06,1.79E-01
2.02E-06,1.80E-01
2.02E-06,1.87E-01
2.03E-06,1.91E-01
2.03E-06,1.86E-01
2.04E-06,1.91E-01
2.04E-06,1.99E-01
2.05E-06,2.00E-01
2.05E-06,2.01E-01
2.06E-06,2.06E-01
2.06E-06,2.09E-01
2.07E-06,2.02E-01
2.07E-06,2.09E-01
2.08E-06,2.12E-01
2.08E-06,2.09E-01
2.09E-06,2.07E-01
2.09E-06,2.10E-01
2.10E-06,2.14E-01
2.10E-06,2.11E-01
2.11E-06,2.10E-01
2.11E-06,2.09E-01
2.12E-06,2.10E-01
2.12E-06,2.12E-01
2.13E-06,2.07E-01
2.13E-06,2.07E-01
2.14E-06,2.06E-01
2.14E-06,2.09E-01
2.15E-06,2.00E-01
2.15E-06,2.02E-01
2.16E-06,2.01E-01
2.16E-06,1.95E-01
2.17E-06,1.94E-01
2.17E-06,1.94E-01
2.18E-06,1.87E-01
2.18E-06,1.82E-01
2.19E-06,1.77E-01
2.19E-06,1.76E-01
2.20E-06,1.68E-01
2.20E-06,1.63E-01
2.21E-06,1.61E-01
2.21E-06,1.55E-01
2.22E-06,1.48E-01
2.22E-06,1.44E-01
2.23E-06,1.31E-01
2.23E-06,1.30E-01
2.24E-06,1.19E-01
2.24E-06,1.19E-01
2.25E-06,1.10E-01
2.25E-06,1.03E-01
2.26E-06,1.01E-01
2.26E-06,9.40E-02
2.27E-06,9.02E-02
2.27E-06,8.53E-02
2.28E-06,8.28E-02
2.28E-06,8.15E-02
2.29E-06,7.40E-02
2.29E-06,7.53E-02
2.30E-06,7.28E-02
2.30E-06,7.03E-02
2.31E-06,7.03E-02
2.31E-06,6.91E-02
2.32E-06,6.91E-02
2.32E-06,7.03E-02
2.33E-06,7.28E-02
2.33E-06,7.16E-02
2.34E-06,8.03E-02
2.34E-06,8.03E-02
2.35E-06,8.53E-02
2.35E-06,8.53E-02
2.36E-06,8.65E-02
2.36E-06,9.40E-02
2.37E-06,9.52E-02
2.37E-06,9.52E-02
2.38E-06,9.65E-02
2.38E-06,1.01E-01
2.39E-06,9.77E-02
2.39E-06,1.01E-01
2.40E-06,1.00E-01
2.40E-06,9.77E-02
2.41E-06,9.65E-02
2.41E-06,9.40E-02
2.42E-06,9.15E-02
2.42E-06,8.90E-02
2.43E-06,8.28E-02
2.43E-06,7.90E-02
2.44E-06,7.16E-02
2.44E-06,7.53E-02
2.45E-06,6.66E-02
2.45E-06,6.16E-02
2.46E-06,5.78E-02
2.46E-06,5.41E-02
2.47E-06,4.91E-02
2.47E-06,4.91E-02
2.48E-06,4.41E-02
2.48E-06,4.29E-02
2.49E-06,3.92E-02
2.49E-06,3.79E-02
2.50E-06,3.79E-02
2.50E-06,3.54E-02
2.51E-06,3.67E-02
2.51E-06,3.54E-02
2.52E-06,3.79E-02
2.52E-06,3.54E-02
2.53E-06,3.67E-02
2.53E-06,3.54E-02
2.54E-06,4.16E-02
2.54E-06,4.04E-02
2.55E-06,4.41E-02
2.55E-06,4.29E-02
2.56E-06,4.66E-02
2.56E-06,5.04E-02
2.57E-06,5.29E-02
2.57E-06,5.41E-02
2.58E-06,5.78E-02
2.58E-06,5.91E-02
2.59E-06,6.03E-02
2.59E-06,6.53E-02
2.60E-06,6.66E-02
2.60E-06,6.91E-02
2.61E-06,6.78E-02
2.61E-06,7.28E-02
2.62E-06,7.16E-02
2.62E-06,7.28E-02
2.63E-06,7.53E-02
2.63E-06,7.16E-02
2.64E-06,7.16E-02
2.64E-06,7.53E-02
2.65E-06,7.28E-02
2.65E-06,7.03E-02
2.66E-06,7.28E-02
2.66E-06,6.78E-02
2.67E-06,7.03E-02
2.67E-06,6.78E-02
2.68E-06,6.66E-02
2.68E-06,6.16E-02
2.69E-06,6.16E-02
2.69E-06,5.66E-02
2.70E-06,5.78E-02
2.70E-06,5.66E-02
2.71E-06,5.41E-02
2.71E-06,5.16E-02
2.72E-06,4.54E-02
2.72E-06,4.16E-02
2.73E-06,4.29E-02
2.73E-06,4.04E-02
2.74E-06,3.54E-02
2.74E-06,3.29E-02
2.75E-06,3.17E-02
2.75E-06,3.04E-02
2.76E-06,2.54E-02
2.76E-06,2.42E-02
2.77E-06,2.05E-02
2.77E-06,1.92E-02
2.78E-06,2.05E-02
2.78E-06,1.80E-02
2.79E-06,2.05E-02
2.79E-06,2.05E-02
2.80E-06,1.92E-02
2.80E-06,1.92E-02
2.81E-06,2.05E-02
2.81E-06,1.92E-02
2.82E-06,2.30E-02
2.82E-06,2.42E-02
2.83E-06,2.67E-02
2.83E-06,3.04E-02
2.84E-06,3.04E-02
2.84E-06,3.42E-02
2.85E-06,3.42E-02
2.85E-06,3.79E-02
2.86E-06,4.16E-02
2.86E-06,4.29E-02
2.87E-06,4.79E-02
2.87E-06,4.79E-02
2.88E-06,5.04E-02
2.88E-06,4.79E-02
2.89E-06,4.91E-02
2.89E-06,4.66E-02
2.90E-06,5.04E-02
2.90E-06,4.79E-02
2.91E-06,4.54E-02
2.91E-06,4.79E-02
2.92E-06,4.54E-02
2.92E-06,4.04E-02
2.93E-06,4.16E-02
2.93E-06,3.79E-02
2.94E-06,3.67E-02
2.94E-06,3.67E-02
2.95E-06,3.42E-02
2.95E-06,3.17E-02
2.96E-06,3.04E-02
2.96E-06,3.04E-02
2.97E-06,2.92E-02
2.97E-06,2.79E-02
2.98E-06,3.04E-02
2.98E-06,2.79E-02
2.99E-06,2.79E-02
2.99E-06,3.17E-02
3.00E-06,3.17E-02
3.00E-06,3.67E-02
3.01E-06,3.92E-02
3.01E-06,4.16E-02
3.02E-06,4.66E-02
3.02E-06,5.04E-02
3.03E-06,5.54E-02
3.03E-06,6.16E-02
3.04E-06,6.66E-02
3.04E-06,6.91E-02
3.05E-06,7.40E-02
3.05E-06,8.40E-02
3.06E-06,8.90E-02
3.06E-06,9.77E-02
3.07E-06,1.00E-01
3.07E-06,1.06E-01
3.08E-06,1.14E-01
3.08E-06,1.16E-01
3.09E-06,1.25E-01
3.09E-06,1.29E-01
3.10E-06,1.38E-01
3.10E-06,1.44E-01
3.11E-06,1.49E-01
3.11E-06,1.49E-01
3.12E-06,1.56E-01
3.12E-06,1.63E-01
3.13E-06,1.64E-01
3.13E-06,1.69E-01
3.14E-06,1.80E-01
3.14E-06,1.79E-01
3.15E-06,1.82E-01
3.15E-06,1.84E-01
3.16E-06,1.86E-01
3.16E-06,1.86E-01
3.17E-06,1.90E-01
3.17E-06,1.90E-01
3.18E-06,1.94E-01
3.18E-06,1.96E-01
3.19E-06,1.96E-01
3.19E-06,1.94E-01
3.20E-06,1.99E-01
3.20E-06,1.99E-01
3.21E-06,1.99E-01
3.21E-06,1.95E-01
3.22E-06,1.94E-01
3.22E-06,1.90E-01
3.23E-06,1.86E-01
3.23E-06,1.86E-01
3.24E-06,1.82E-01
3.24E-06,1.84E-01
3.25E-06,1.76E-01
3.25E-06,1.74E-01
3.26E-06,1.70E-01
3.26E-06,1.66E-01
3.27E-06,1.60E-01
3.27E-06,1.53E-01
3.28E-06,1.50E-01
3.28E-06,1.44E-01
3.29E-06,1.40E-01
3.29E-06,1.33E-01
3.30E-06,1.29E-01
3.30E-06,1.23E-01
3.31E-06,1.23E-01
3.31E-06,1.15E-01
3.32E-06,1.11E-01
3.32E-06,1.06E-01
3.33E-06,1.03E-01
3.33E-06,9.77E-02
3.34E-06,9.52E-02
3.34E-06,9.27E-02
3.35E-06,9.15E-02
3.35E-06,9.02E-02
3.36E-06,9.27E-02
3.36E-06,9.15E-02
3.37E-06,9.02E-02
3.37E-06,9.27E-02
3.38E-06,9.40E-02
3.38E-06,9.65E-02
3.39E-06,1.01E-01
3.39E-06,1.01E-01
3.40E-06,1.05E-01
3.40E-06,1.10E-01
3.41E-06,1.13E-01
3.41E-06,1.20E-01
3.42E-06,1.26E-01
3.42E-06,1.34E-01
3.43E-06,1.38E-01
3.43E-06,1.44E-01
3.44E-06,1.55E-01
3.44E-06,1.60E-01
3.45E-06,1.69E-01
3.45E-06,1.69E-01
3.46E-06,1.74E-01
3.46E-06,1.81E-01
3.47E-06,1.82E-01
3.47E-06,1.89E-01
3.48E-06,1.86E-01
3.48E-06,1.92E-01
3.49E-06,1.94E-01
3.49E-06,1.87E-01
3.50E-06,1.99E-01
3.50E-06,1.95E-01
3.51E-06,1.90E-01
3.51E-06,1.94E-01
3.52E-06,1.84E-01
3.52E-06,1.85E-01
3.53E-06,1.79E-01
3.53E-06,1.72E-01
3.54E-06,1.72E-01
3.54E-06,1.66E-01
3.55E-06,1.64E-01
3.55E-06,1.55E-01
3.56E-06,1.50E-01
3.56E-06,1.44E-01
3.57E-06,1.40E-01
3.57E-06,1.35E-01
3.58E-06,1.26E-01
3.58E-06,1.29E-01
3.59E-06,1.18E-01
3.59E-06,1.16E-01
3.60E-06,1.11E-01
3.60E-06,1.06E-01
3.61E-06,1.06E-01
3.61E-06,1.00E-01
3.62E-06,9.77E-02
3.62E-06,9.15E-02
3.63E-06,9.27E-02
3.63E-06,9.02E-02
3.64E-06,8.53E-02
3.64E-06,8.78E-02
3.65E-06,8.40E-02
3.65E-06,8.03E-02
3.66E-06,7.90E-02
3.66E-06,7.53E-02
3.67E-06,7.78E-02
3.67E-06,7.40E-02
3.68E-06,7.16E-02
3.68E-06,7.03E-02
3.69E-06,6.66E-02
3.69E-06,6.41E-02
3.70E-06,6.41E-02
3.70E-06,6.16E-02
3.71E-06,5.66E-02
3.71E-06,5.54E-02
3.72E-06,5.16E-02
3.72E-06,4.79E-02
3.73E-06,4.66E-02
3.73E-06,4.04E-02
3.74E-06,3.79E-02
3.74E-06,3.67E-02
3.75E-06,3.29E-02
3.75E-06,2.92E-02
3.76E-06,2.67E-02
3.76E-06,2.54E-02
3.77E-06,1.92E-02
3.77E-06,2.05E-02
3.78E-06,1.67E-02
3.78E-06,1.55E-02
3.79E-06,1.55E-02
3.79E-06,1.30E-02
3.80E-06,1.30E-02
3.80E-06,1.42E-02
3.81E-06,1.55E-02
3.81E-06,1.42E-02
3.82E-06,1.67E-02
3.82E-06,1.55E-02
3.83E-06,2.05E-02
3.83E-06,2.30E-02
3.84E-06,2.42E-02
3.84E-06,2.67E-02
3.85E-06,3.17E-02
3.85E-06,3.42E-02
3.86E-06,3.92E-02
3.86E-06,4.54E-02
3.87E-06,4.79E-02
3.87E-06,5.29E-02
3.88E-06,5.78E-02
3.88E-06,6.16E-02
3.89E-06,6.66E-02
3.89E-06,7.16E-02
3.90E-06,7.90E-02
3.90E-06,8.15E-02
3.91E-06,9.02E-02
3.91E-06,9.15E-02
3.92E-06,9.77E-02
3.92E-06,1.01E-01
3.93E-06,1.08E-01
3.93E-06,1.09E-01
3.94E-06,1.14E-01
3.94E-06,1.14E-01
3.95E-06,1.16E-01
3.95E-06,1.20E-01
3.96E-06,1.25E-01
3.96E-06,1.25E-01
3.97E-06,1.21E-01
3.97E-06,1.24E-01
3.98E-06,1.24E-01
3.98E-06,1.24E-01
3.99E-06,1.20E-01
3.99E-06,1.18E-01
4.00E-06,1.18E-01
4.00E-06,1.15E-01
4.01E-06,1.11E-01
4.01E-06,1.13E-01
4.02E-06,1.10E-01
4.02E-06,1.09E-01
4.03E-06,9.90E-02
4.03E-06,1.01E-01
4.04E-06,9.52E-02
4.04E-06,9.27E-02
4.05E-06,8.53E-02
4.05E-06,8.40E-02
4.06E-06,8.40E-02
4.06E-06,7.65E-02
4.07E-06,7.16E-02
4.07E-06,7.03E-02
4.08E-06,6.28E-02
4.08E-06,6.28E-02
4.09E-06,5.78E-02
4.09E-06,5.41E-02
4.10E-06,5.16E-02
4.10E-06,4.79E-02
4.11E-06,4.29E-02
4.11E-06,3.92E-02
4.12E-06,3.42E-02
4.12E-06,2.92E-02
4.13E-06,2.67E-02
4.13E-06,2.30E-02
4.14E-06,2.30E-02
4.14E-06,2.17E-02
4.15E-06,1.80E-02
4.15E-06,1.55E-02
4.16E-06,1.30E-02
4.16E-06,1.30E-02
4.17E-06,1.17E-02
4.17E-06,9.24E-03
4.18E-06,1.17E-02
4.18E-06,9.24E-03
4.19E-06,1.42E-02
4.19E-06,1.17E-02
4.20E-06,1.67E-02
4.20E-06,1.80E-02
4.21E-06,2.05E-02
4.21E-06,2.42E-02
4.22E-06,2.92E-02
4.22E-06,3.29E-02
4.23E-06,3.92E-02
4.23E-06,4.41E-02
4.24E-06,5.16E-02
4.24E-06,6.03E-02
4.25E-06,6.78E-02
4.25E-06,7.16E-02
4.26E-06,8.53E-02
4.26E-06,9.15E-02
4.27E-06,1.03E-01
4.27E-06,1.09E-01
4.28E-06,1.16E-01
4.28E-06,1.26E-01
4.29E-06,1.38E-01
4.29E-06,1.45E-01
4.30E-06,1.54E-01
4.30E-06,1.58E-01
4.31E-06,1.61E-01
4.31E-06,1.66E-01
4.32E-06,1.69E-01
4.32E-06,1.72E-01
4.33E-06,1.71E-01
4.33E-06,1.74E-01
4.34E-06,1.76E-01
4.34E-06,1.74E-01
4.35E-06,1.75E-01
4.35E-06,1.69E-01
4.36E-06,1.66E-01
4.36E-06,1.66E-01
4.37E-06,1.59E-01
4.37E-06,1.59E-01
4.38E-06,1.51E-01
4.38E-06,1.51E-01
4.39E-06,1.49E-01
4.39E-06,1.49E-01
4.40E-06,1.40E-01
4.40E-06,1.38E-01
4.41E-06,1.38E-01
4.41E-06,1.36E-01
4.42E-06,1.39E-01
4.42E-06,1.38E-01
4.43E-06,1.35E-01
4.43E-06,1.34E-01
4.44E-06,1.33E-01
4.44E-06,1.30E-01
4.45E-06,1.33E-01
4.45E-06,1.35E-01
4.46E-06,1.33E-01
4.46E-06,1.34E-01
4.47E-06,1.36E-01
4.47E-06,1.38E-01
4.48E-06,1.40E-01
4.48E-06,1.40E-01
4.49E-06,1.38E-01
4.49E-06,1.39E-01
4.50E-06,1.41E-01
4.50E-06,1.44E-01
4.51E-06,1.50E-01
4.51E-06,1.48E-01
4.52E-06,1.51E-01
4.52E-06,1.50E-01
4.53E-06,1.53E-01
4.53E-06,1.53E-01
4.54E-06,1.50E-01
4.54E-06,1.51E-01
4.55E-06,1.53E-01
4.55E-06,1.51E-01
4.56E-06,1.54E-01
4.56E-06,1.51E-01
4.57E-06,1.53E-01
4.57E-06,1.53E-01
4.58E-06,1.54E-01
4.58E-06,1.51E-01
4.59E-06,1.50E-01
4.59E-06,1.53E-01
4.60E-06,1.53E-01
4.60E-06,1.48E-01
4.61E-06,1.53E-01
4.61E-06,1.49E-01
4.62E-06,1.51E-01
4.62E-06,1.49E-01
4.63E-06,1.48E-01
4.63E-06,1.48E-01
4.64E-06,1.45E-01
4.64E-06,1.48E-01
4.65E-06,1.51E-01
4.65E-06,1.48E-01
4.66E-06,1.48E-01
4.66E-06,1.49E-01
4.67E-06,1.51E-01
4.67E-06,1.49E-01
4.68E-06,1.49E-01
4.68E-06,1.55E-01
4.69E-06,1.54E-01
4.69E-06,1.56E-01
4.70E-06,1.65E-01
4.70E-06,1.61E-01
4.71E-06,1.66E-01
4.71E-06,1.69E-01
4.72E-06,1.72E-01
4.72E-06,1.77E-01
4.73E-06,1.80E-01
4.73E-06,1.76E-01
4.74E-06,1.82E-01
4.74E-06,1.89E-01
4.75E-06,1.89E-01
4.75E-06,1.89E-01
4.76E-06,1.92E-01
4.76E-06,1.89E-01
4.77E-06,1.89E-01
4.77E-06,1.82E-01
4.78E-06,1.82E-01
4.78E-06,1.77E-01
4.79E-06,1.72E-01
4.79E-06,1.70E-01
4.80E-06,1.59E-01
4.80E-06,1.55E-01
4.81E-06,1.43E-01
4.81E-06,1.35E-01
4.82E-06,1.23E-01
4.82E-06,1.15E-01
4.83E-06,1.09E-01
4.83E-06,9.77E-02
4.84E-06,8.65E-02
4.84E-06,7.65E-02
4.85E-06,6.78E-02
4.85E-06,6.16E-02
4.86E-06,5.41E-02
4.86E-06,5.04E-02
4.87E-06,3.92E-02
4.87E-06,3.54E-02
4.88E-06,3.04E-02
4.88E-06,2.67E-02
4.89E-06,2.30E-02
4.89E-06,1.92E-02
4.90E-06,1.80E-02
4.90E-06,1.80E-02
4.91E-06,1.55E-02
4.91E-06,1.55E-02
4.92E-06,1.42E-02
4.92E-06,1.55E-02
4.93E-06,1.67E-02
4.93E-06,2.05E-02
4.94E-06,2.17E-02
4.94E-06,2.54E-02
4.95E-06,2.67E-02
4.95E-06,2.67E-02
4.96E-06,2.79E-02
4.96E-06,3.54E-02
4.97E-06,3.79E-02
4.97E-06,4.16E-02
4.98E-06,4.41E-02
4.98E-06,5.04E-02
4.99E-06,5.54E-02
4.99E-06,5.78E-02
5.00E-06,6.16E-02
5.00E-06,6.78E-02
5.01E-06,6.78E-02
5.01E-06,7.28E-02
5.02E-06,7.65E-02
5.02E-06,8.28E-02
5.03E-06,8.78E-02
5.03E-06,8.90E-02
5.04E-06,9.65E-02
5.04E-06,9.52E-02
5.05E-06,1.05E-01
5.05E-06,1.06E-01
5.06E-06,1.11E-01
5.06E-06,1.16E-01
5.07E-06,1.16E-01
5.07E-06,1.20E-01
5.08E-06,1.25E-01
5.08E-06,1.25E-01
5.09E-06,1.28E-01
5.09E-06,1.30E-01
5.10E-06,1.34E-01
5.10E-06,1.28E-01
5.11E-06,1.29E-01
5.11E-06,1.31E-01
5.12E-06,1.34E-01
5.12E-06,1.29E-01
5.13E-06,1.29E-01
5.13E-06,1.29E-01
5.14E-06,1.33E-01
5.14E-06,1.28E-01
5.15E-06,1.31E-01
5.15E-06,1.23E-01
5.16E-06,1.26E-01
5.16E-06,1.20E-01
5.17E-06,1.14E-01
5.17E-06,1.15E-01
5.18E-06,1.11E-01
5.18E-06,1.11E-01
5.19E-06,1.01E-01
5.19E-06,9.15E-02
5.20E-06,9.02E-02
5.20E-06,8.65E-02
5.21E-06,7.78E-02
5.21E-06,7.28E-02
5.22E-06,6.66E-02
5.22E-06,6.28E-02
5.23E-06,6.03E-02
5.23E-06,5.16E-02
5.24E-06,4.54E-02
5.24E-06,4.04E-02
5.25E-06,4.04E-02
5.25E-06,3.29E-02
5.26E-06,3.04E-02
5.26E-06,2.79E-02
5.27E-06,2.54E-02
5.27E-06,2.30E-02
5.28E-06,1.92E-02
5.28E-06,1.80E-02
5.29E-06,1.92E-02
5.29E-06,1.55E-02
5.30E-06,1.67E-02
5.30E-06,2.05E-02
5.31E-06,2.05E-02
5.31E-06,2.05E-02
5.32E-06,2.05E-02
5.32E-06,2.67E-02
5.33E-06,2.79E-02
5.33E-06,2.92E-02
5.34E-06,3.54E-02
5.34E-06,3.67E-02
5.35E-06,4.16E-02
5.35E-06,4.29E-02
5.36E-06,4.79E-02
5.36E-06,5.29E-02
5.37E-06,5.41E-02
5.37E-06,5.91E-02
5.38E-06,6.41E-02
5.38E-06,6.91E-02
5.39E-06,7.03E-02
5.39E-06,7.40E-02
5.40E-06,7.78E-02
5.40E-06,7.90E-02
5.41E-06,8.28E-02
5.41E-06,8.53E-02
5.42E-06,9.02E-02
5.42E-06,9.52E-02
5.43E-06,9.52E-02
5.43E-06,9.77E-02
5.44E-06,1.01E-01
5.44E-06,1.03E-01
5.45E-06,1.01E-01
5.45E-06,1.05E-01
5.46E-06,1.08E-01
5.46E-06,1.08E-01
5.47E-06,1.11E-01
5.47E-06,1.13E-01
5.48E-06,1.15E-01
5.48E-06,1.18E-01
5.49E-06,1.18E-01
5.49E-06,1.24E-01
5.50E-06,1.26E-01
5.50E-06,1.28E-01
5.51E-06,1.33E-01
5.51E-06,1.39E-01
